,age,fullVisitorId,gender
0,54,290333981372798422,female
1,44,290333981372798422,female
2,47,395050647250429598,female
3,51,395050647250429598,male
4,46,395050647250429598,female
5,50,395050647250429598,male
6,51,644061149609662421,male
7,47,5446026750047012560,male
8,45,5446026750047012560,female
9,51,754276461062540121,male
10,54,754276461062540121,male
11,47,1008230340188426455,female
12,49,3813481911022270064,female
13,57,9575170126084021202,female
14,48,374253765923087294,male
15,48,374253765923087294,male
16,60,985098225619885190,female
17,44,985098225619885190,male
18,53,985098225619885190,female
19,42,7871079031879063569,male
20,48,3076174797058833907,female
21,56,3076174797058833907,female
22,55,3076174797058833907,female
23,46,3076174797058833907,male
24,48,3076174797058833907,male
25,50,3807311238107119540,female
26,45,3807311238107119540,male
27,52,3845852396426162446,female
28,59,8544910212244329397,male
29,45,833073323421806487,male
30,42,6436454707480049919,male
31,51,6436454707480049919,female
32,50,8845818020104828876,male
33,57,8845818020104828876,male
34,49,8845818020104828876,male
35,50,63411837669447330,female
36,49,63411837669447330,female
37,46,63411837669447330,male
38,53,8053221637100558472,male
39,45,5130136663096173309,male
40,55,7321815150833739774,female
41,50,2402527199731150932,female
42,52,2402527199731150932,female
43,48,2402527199731150932,male
44,46,2402527199731150932,female
45,57,1152867987950849273,male
46,52,1152867987950849273,male
47,55,9104422787977218572,female
48,51,4959410280892365122,female
49,60,4959410280892365122,male
50,51,4959410280892365122,female
51,46,324564641241038377,female
52,53,324564641241038377,male
53,52,324564641241038377,male
54,41,324564641241038377,female
55,50,324564641241038377,female
56,54,324564641241038377,male
57,53,324564641241038377,male
58,49,324564641241038377,female
59,45,324564641241038377,female
60,52,324564641241038377,female
61,45,324564641241038377,male
62,55,75449012662152580,male
63,49,75449012662152580,female
64,46,5081913244411982383,female
65,48,5081913244411982383,male
66,47,5323620141964404346,female
67,48,5323620141964404346,male
68,47,5323620141964404346,male
69,48,5323620141964404346,female
70,51,5323620141964404346,male
71,52,7898871805036704666,male
72,46,7898871805036704666,male
73,46,7898871805036704666,female
74,48,7898871805036704666,female
75,50,4561220792335536422,female
76,50,4561220792335536422,female
77,42,4561220792335536422,female
78,57,4561220792335536422,male
79,46,4561220792335536422,male
80,57,2348681849763325965,male
81,45,2348681849763325965,male
82,46,2348681849763325965,male
83,49,2348681849763325965,male
84,49,4636131731638181227,female
85,47,2796082769378041079,male
86,53,1514012509293129940,male
87,43,6933058408282272884,male
88,54,6933058408282272884,male
89,47,6933058408282272884,male
90,28,7939552270525180888,male
91,24,7939552270525180888,male
92,44,633090494027651510,male
93,52,633090494027651510,male
94,59,633090494027651510,male
95,50,6095240958469403590,female
96,50,6095240958469403590,male
97,48,1758112154920698235,male
98,46,1758112154920698235,female
99,47,1758112154920698235,female
100,45,1758112154920698235,male
101,44,9692965964258784311,female
102,50,9692965964258784311,male
103,56,9692965964258784311,male
104,52,9692965964258784311,female
105,52,9692965964258784311,female
106,51,207758697026045863,male
107,47,207758697026045863,female
108,51,207758697026045863,female
109,48,207758697026045863,male
110,54,1350238261946976509,female
111,55,1350238261946976509,female
112,55,1350238261946976509,female
113,51,3836209289653625827,female
114,54,656429934624637021,male
115,47,6407020613319085956,male
116,50,992883166330459343,female
117,49,467904620717928287,male
118,46,116147939572219012,male
119,46,116147939572219012,male
120,46,7368502516910628581,male
121,48,8496641076182253278,female
122,42,7351811396250801209,female
123,58,7351811396250801209,female
124,51,7351811396250801209,female
125,50,7351811396250801209,male
126,52,7351811396250801209,female
127,49,707924884126013523,female
128,52,707924884126013523,male
129,52,707924884126013523,male
130,53,6249334762900875907,female
131,41,6249334762900875907,male
132,54,6249334762900875907,male
133,51,6249334762900875907,female
134,52,6249334762900875907,male
135,52,6249334762900875907,female
136,51,9320164337521602239,male
137,56,9320164337521602239,female
138,49,9320164337521602239,female
139,52,9705228674184876468,male
140,49,9705228674184876468,male
141,50,312226371899637611,male
142,60,142116411233847758,female
143,57,142116411233847758,male
144,51,142116411233847758,female
145,54,142116411233847758,female
146,49,142116411233847758,female
147,42,142116411233847758,female
148,52,862593861789084986,male
149,49,862593861789084986,female
150,45,862593861789084986,male
151,41,5155886278275887447,female
152,56,5155886278275887447,female
153,52,5155886278275887447,female
154,52,5155886278275887447,male
155,47,5155886278275887447,female
156,50,5155886278275887447,female
157,55,4377378313866337368,male
158,48,4377378313866337368,male
159,51,4377378313866337368,female
160,46,4377378313866337368,female
161,51,2396255136764683002,female
162,46,2396255136764683002,female
163,48,2396255136764683002,male
164,49,2396255136764683002,female
165,53,536559199229561402,male
166,52,536559199229561402,male
167,47,536559199229561402,female
168,49,3636762408690332457,female
169,50,3636762408690332457,female
170,50,9863787389438412366,male
171,46,9863787389438412366,male
172,53,9863787389438412366,male
173,51,1860043119343068169,male
174,51,1860043119343068169,female
175,60,1860043119343068169,male
176,48,1860043119343068169,female
177,53,2013562667442528717,female
178,44,2013562667442528717,male
179,57,2013562667442528717,male
180,46,6509863579619140812,male
181,46,6509863579619140812,male
182,49,6509863579619140812,female
183,46,5115425218426457773,male
184,45,5115425218426457773,female
185,53,5115425218426457773,female
186,53,5115425218426457773,male
187,50,2709351657146666850,male
188,49,2709351657146666850,female
189,53,2709351657146666850,female
190,47,2709351657146666850,female
191,47,1293859889635603442,female
192,54,1293859889635603442,male
193,46,1293859889635603442,female
194,47,1293859889635603442,female
195,52,1293859889635603442,male
196,49,1293859889635603442,female
197,46,1318990660958602931,male
198,49,1318990660958602931,female
199,49,7382792588713799931,male
200,47,7382792588713799931,female
201,51,7382792588713799931,female
202,53,7382792588713799931,male
203,54,7382792588713799931,male
204,45,7382792588713799931,male
205,50,7382792588713799931,female
206,50,2956786142298366932,female
207,42,2956786142298366932,female
208,47,2956786142298366932,male
209,50,2956786142298366932,male
210,43,2956786142298366932,male
211,52,2956786142298366932,male
212,55,3122819142651442122,male
213,45,3122819142651442122,female
214,56,8532055883431477965,male
215,64,766993275138882460,female
216,49,2123761033073657135,male
217,49,2123761033073657135,female
218,48,9020693101547107991,female
219,38,9020693101547107991,female
220,45,9020693101547107991,female
221,53,5293894557415373112,male
222,49,5293894557415373112,male
223,53,8757627980689319217,female
224,50,8757627980689319217,male
225,50,8757627980689319217,female
226,52,8136695157497866307,female
227,46,8997285863534192253,male
228,52,8997285863534192253,male
229,51,8997285863534192253,female
230,45,8997285863534192253,male
231,43,8997285863534192253,male
232,48,8997285863534192253,female
233,61,372706149688864468,male
234,56,372706149688864468,male
235,55,372706149688864468,female
236,49,372706149688864468,male
237,51,372706149688864468,female
238,49,9972641923092309898,female
239,54,9972641923092309898,male
240,52,9179364299608933418,female
241,42,9179364299608933418,female
242,53,2219981041933608843,male
243,54,2219981041933608843,female
244,48,6736977205570964943,male
245,47,6736977205570964943,male
246,52,6736977205570964943,male
247,48,6736977205570964943,female
248,51,1393633173328801040,male
249,50,1393633173328801040,female
250,48,4683498388367209057,female
251,45,4683498388367209057,female
252,59,4683498388367209057,male
253,47,4683498388367209057,female
254,51,4683498388367209057,male
255,49,2459432206617896206,female
256,50,2459432206617896206,female
257,44,3948753572772915413,female
258,46,3948753572772915413,female
259,45,3948753572772915413,male
260,55,4370296679036736835,female
261,47,4370296679036736835,female
262,47,4370296679036736835,female
263,54,4370296679036736835,male
264,51,4370296679036736835,male
265,55,4370296679036736835,male
266,52,4370296679036736835,female
267,50,7824102392765552707,male
268,46,7824102392765552707,male
269,56,7824102392765552707,female
270,49,7824102392765552707,male
271,46,7824102392765552707,male
272,49,7824102392765552707,male
273,49,7824102392765552707,female
274,56,7012131705583674177,female
275,60,7012131705583674177,male
276,49,7012131705583674177,male
277,54,7012131705583674177,male
278,47,7012131705583674177,female
279,49,7012131705583674177,male
280,47,7012131705583674177,male
281,50,5239443997664471780,female
282,52,5239443997664471780,male
283,51,5239443997664471780,male
284,48,5239443997664471780,female
285,50,7409212089173005419,female
286,47,7409212089173005419,male
287,52,7409212089173005419,male
288,48,326671467950015369,female
289,51,4624790961997446284,male
290,54,4624790961997446284,female
291,48,4624790961997446284,female
292,56,3971437232101672363,male
293,41,1741172694620038876,female
294,47,1741172694620038876,female
295,54,1741172694620038876,male
296,49,1741172694620038876,female
297,46,1741172694620038876,male
298,48,8345665415010586104,female
299,56,8345665415010586104,female
300,57,4661880463561390701,male
301,44,4661880463561390701,male
302,47,4661880463561390701,male
303,47,4661880463561390701,male
304,56,818860449344258953,male
305,49,818860449344258953,male
306,52,8895070637038003269,female
307,51,6904415728032094280,male
308,50,5375879042397621838,female
309,49,8314880454483296591,female
310,54,8866035740350491393,female
311,50,9366737913025963076,male
312,46,8617743471212010127,male
313,49,3264354418157735832,female
314,45,3264354418157735832,male
315,50,3264354418157735832,female
316,48,4022281232635226320,female
317,46,7207269090239542768,female
318,42,7878351670032839098,male
319,59,553274180487420287,male
320,50,553274180487420287,female
321,57,553274180487420287,male
322,47,1453691519754231663,male
323,52,6295250003347725316,female
324,57,6295250003347725316,female
325,53,533462479025888957,female
326,47,533462479025888957,female
327,42,8762203686823311307,male
328,44,8762203686823311307,female
329,52,8762203686823311307,female
330,53,6099980464352288562,female
331,53,6099980464352288562,female
332,25,5050263480914174678,female
333,26,5050263480914174678,female
334,53,7813149961404844386,male
335,49,2792057465919995145,female
336,52,2792057465919995145,female
337,52,4531247843823782323,female
338,46,4531247843823782323,male
339,53,4531247843823782323,female
340,57,4531247843823782323,male
341,60,4531247843823782323,female
342,52,4531247843823782323,male
343,50,4531247843823782323,male
344,45,781232080470154469,male
345,53,2110584778013739100,male
346,27,5762152296727527902,male
347,23,5762152296727527902,female
348,53,5013441016621351326,male
349,48,5013441016621351326,male
350,45,5013441016621351326,female
351,50,5013441016621351326,female
352,49,4125169582093788540,female
353,48,5846746370544767584,male
354,48,5846746370544767584,female
355,48,7624531134410931401,male
356,44,7624531134410931401,male
357,59,7624531134410931401,female
358,56,9381613889924165775,male
359,46,9381613889924165775,male
360,52,9381613889924165775,male
361,51,9381613889924165775,female
362,50,110237584337011595,female
363,57,110237584337011595,female
364,53,110237584337011595,male
365,46,9441031549900042682,male
366,49,3374717573841647831,male
367,43,3374717573841647831,female
368,52,3374717573841647831,male
369,51,3374717573841647831,male
370,51,7314335149820317906,male
371,49,7314335149820317906,male
372,50,1997401331704594416,female
373,51,1997401331704594416,male
374,58,1997401331704594416,male
375,51,1997401331704594416,female
376,49,1997401331704594416,female
377,52,1997401331704594416,male
378,53,1997401331704594416,male
379,55,1997401331704594416,male
380,55,1997401331704594416,male
381,49,1997401331704594416,male
382,54,1997401331704594416,male
383,47,1997401331704594416,male
384,45,9220403459070771293,female
385,47,6210742299083383433,female
386,52,6210742299083383433,female
387,44,5640250262390805538,female
388,57,4863941202505455588,male
389,50,4863941202505455588,male
390,52,7137675061715531940,female
391,48,1957458976293878100,male
392,45,6835707118991448680,female
393,49,4177916265915368824,male
394,52,941726438399473483,female
395,46,9822492926505552185,male
396,51,3397610502524811924,male
397,46,3397610502524811924,female
398,43,3397610502524811924,male
399,46,3397610502524811924,male
400,52,934513430067402140,female
401,44,934513430067402140,male
402,53,2740161621176536735,male
403,50,2605035939330084736,male
404,47,2605035939330084736,female
405,50,2876669668798568631,male
406,57,906130361364979592,male
407,53,906130361364979592,male
408,53,906130361364979592,male
409,49,906130361364979592,female
410,44,906130361364979592,female
411,54,906130361364979592,male
412,55,906130361364979592,female
413,52,906130361364979592,female
414,52,906130361364979592,female
415,52,906130361364979592,male
416,51,906130361364979592,male
417,49,2341884364013186402,female
418,54,7256651340144904184,female
419,51,7256651340144904184,male
420,42,7256651340144904184,male
421,50,9107843838553084970,male
422,49,9107843838553084970,female
423,44,7075819454368142073,female
424,57,7075819454368142073,female
425,60,7075819454368142073,male
426,45,7622430498708873807,female
427,53,7622430498708873807,female
428,25,6768220154263223438,male
429,25,6768220154263223438,female
430,48,6958759408390889884,male
431,50,6958759408390889884,male
432,55,6958759408390889884,male
433,51,6958759408390889884,male
434,49,5423437990262090686,male
435,49,5423437990262090686,male
436,46,5423437990262090686,female
437,49,5423437990262090686,male
438,45,5423437990262090686,female
439,55,5423437990262090686,male
440,42,5423437990262090686,female
441,51,5423437990262090686,female
442,47,5423437990262090686,male
443,47,5423437990262090686,male
444,48,5423437990262090686,male
445,47,12561433643490595,male
446,54,12561433643490595,female
447,54,9160688801124625042,female
448,45,9160688801124625042,male
449,45,9160688801124625042,female
450,56,9160688801124625042,male
451,56,9160688801124625042,female
452,53,9160688801124625042,male
453,42,9160688801124625042,female
454,54,9160688801124625042,male
455,46,9160688801124625042,male
456,52,9160688801124625042,female
457,46,9160688801124625042,male
458,51,9160688801124625042,female
459,47,9160688801124625042,male
460,51,9160688801124625042,female
461,46,4116720743881459837,male
462,50,945029579910809032,male
463,46,945029579910809032,female
